Title,Link,Date,Category
Establishment of the Religious Liberty Commission,https://www.whitehouse.gov/presidential-actions/2025/05/establishment-of-the-religious-liberty-commission/,01-May-25,"Presidential Actions, Executive Orders"
Addressing Certain Tariffs on Imported Articles,https://www.whitehouse.gov/presidential-actions/2025/04/addressing-certain-tariffs-on-imported-articles/,29-Apr-25,"Presidential Actions, Executive Orders"
418TH ANNIVERSARY OF THE FIRST LANDING AND THE RAISING OF THE CAPE HENRY CROSS,https://www.whitehouse.gov/presidential-actions/2025/04/418th-anniversary-of-the-first-landing-and-the-raising-of-the-cape-henry-cross/,29-Apr-25,"Presidential Actions, Proclamations"
Amendments to Adjusting Imports of Automobiles and Automobile Parts Into the United States,https://www.whitehouse.gov/presidential-actions/2025/04/amendments-to-adjusting-imports-of-automobiles-and-automobile-parts-into-the-united-states/,29-Apr-25,"Presidential Actions, Proclamations"
Strengthening and Unleashing America’s Law Enforcement to Pursue Criminals and Protect Innocent Citizens,https://www.whitehouse.gov/presidential-actions/2025/04/strengthening-and-unleashing-americas-law-enforcement-to-pursue-criminals-and-protect-innocent-citizens/,28-Apr-25,"Presidential Actions, Executive Orders"
Protecting American Communities from Criminal Aliens,https://www.whitehouse.gov/presidential-actions/2025/04/protecting-american-communities-from-criminal-aliens/,28-Apr-25,"Presidential Actions, Executive Orders"
Enforcing Commonsense Rules of the Road for America’s Truck Drivers,https://www.whitehouse.gov/presidential-actions/2025/04/enforcing-commonsense-rules-of-the-road-for-americas-truck-drivers/,28-Apr-25,"Presidential Actions, Executive Orders"
"World Intellectual Property Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/04/world-intellectual-property-day-2025/,26-Apr-25,"Presidential Actions, Proclamations"
Investigation into Unlawful “Straw Donor” and Foreign Contributions in American Elections,https://www.whitehouse.gov/presidential-actions/2025/04/investigation-into-unlawful-straw-donor-and-foreign-contributions-in-american-elections/,24-Apr-25,"Presidential Actions, Presidential Memoranda"
Unleashing America’s Offshore Critical Minerals and Resources,https://www.whitehouse.gov/presidential-actions/2025/04/unleashing-americas-offshore-critical-minerals-and-resources/,24-Apr-25,"Presidential Actions, Executive Orders"
Strengthening Probationary Periods in the Federal Service,https://www.whitehouse.gov/presidential-actions/2025/04/strengthening-probationary-periods-in-the-federal-service/,24-Apr-25,"Presidential Actions, Executive Orders"
"National Volunteer Week, 2025",https://www.whitehouse.gov/presidential-actions/2025/04/national-volunteer-week-2025/,23-Apr-25,"Presidential Actions, Proclamations"
Advancing Artificial Intelligence Education for American Youth,https://www.whitehouse.gov/presidential-actions/2025/04/advancing-artificial-intelligence-education-for-american-youth/,23-Apr-25,"Presidential Actions, Executive Orders"
Restoring Equality of Opportunity and Meritocracy,https://www.whitehouse.gov/presidential-actions/2025/04/restoring-equality-of-opportunity-and-meritocracy/,23-Apr-25,"Presidential Actions, Executive Orders"
Reinstating Common Sense School Discipline Policies,https://www.whitehouse.gov/presidential-actions/2025/04/reinstating-common-sense-school-discipline-policies/,23-Apr-25,"Presidential Actions, Executive Orders"
"Days of Remembrance of Victims of the Holocaust, 2025",https://www.whitehouse.gov/presidential-actions/2025/04/days-of-remembrance-of-victims-of-the-holocaust-2025/,23-Apr-25,"Presidential Actions, Proclamations"
"National Park Week, 2025",https://www.whitehouse.gov/presidential-actions/2025/04/national-park-week-2025/,23-Apr-25,"Presidential Actions, Proclamations"
Preparing Americans for High-Paying Skilled Trade Jobs of the Future,https://www.whitehouse.gov/presidential-actions/2025/04/preparing-americans-for-high-paying-skilled-trade-jobs-of-the-future/,23-Apr-25,"Presidential Actions, Executive Orders"
White House Initiative to Promote Excellence and Innovation at Historically Black Colleges and Universities,https://www.whitehouse.gov/presidential-actions/2025/04/white-house-initiative-to-promote-excellence-and-innovation-at-historically-black-colleges-and-universities/,23-Apr-25,"Presidential Actions, Executive Orders"
Reforming Accreditation to Strengthen Higher Education,https://www.whitehouse.gov/presidential-actions/2025/04/reforming-accreditation-to-strengthen-higher-education/,23-Apr-25,"Presidential Actions, Executive Orders"
Transparency Regarding Foreign Influence at American Universities,https://www.whitehouse.gov/presidential-actions/2025/04/transparency-regarding-foreign-influence-at-american-universities/,23-Apr-25,"Presidential Actions, Executive Orders"
Honoring the Memory of His Holiness Pope Francis,https://www.whitehouse.gov/presidential-actions/2025/04/honoring-the-memory-of-his-holiness-pope-francis/,21-Apr-25,"Presidential Actions, Proclamations"
Restoring American Seafood Competitiveness,https://www.whitehouse.gov/presidential-actions/2025/04/restoring-american-seafood-competitiveness/,17-Apr-25,"Presidential Actions, Executive Orders"
250th Anniversary of the Battles of Lexington and Concord,https://www.whitehouse.gov/presidential-actions/2025/04/250th-anniversary-of-the-battles-of-lexington-and-concord/,17-Apr-25,"Presidential Actions, Proclamations"
Extension of Hiring Freeze,https://www.whitehouse.gov/presidential-actions/2025/04/extension-of-hiring-freeze/,17-Apr-25,"Presidential Actions, Presidential Memoranda"
Unleashing American Commercial Fishing in the Pacific,https://www.whitehouse.gov/presidential-actions/2025/04/unleashing-american-commercial-fishing-in-the-pacific/,17-Apr-25,"Presidential Actions, Proclamations"
"Ensuring Commercial, Cost-Effective Solutions in Federal Contracts",https://www.whitehouse.gov/presidential-actions/2025/04/ensuring-commercial-cost-effective-solutions-in-federal-contracts/,16-Apr-25,"Presidential Actions, Executive Orders"
Restoring Common Sense to Federal Office Space Management,https://www.whitehouse.gov/presidential-actions/2025/04/restoring-common-sense-to-federal-office-space-management/,15-Apr-25,"Presidential Actions, Executive Orders"
